epoch,step,train_loss,val_loss
0,49,0.34830784797668457,
0,99,0.053087662905454636,
0,124,,0.04168728366494179
1,149,0.18049749732017517,
1,199,0.08048422634601593,
1,249,0.0579136498272419,
1,249,,0.04155537113547325
2,299,0.06402621418237686,
2,349,0.06796883791685104,
2,374,,0.043741971254348755
3,399,0.04749385267496109,
3,449,0.06636462360620499,
3,499,0.05387597531080246,
3,499,,0.04104399308562279
4,549,0.07526551187038422,
4,599,0.08954722434282303,
4,624,,0.04071606695652008
5,649,0.07594634592533112,
5,699,0.04457775503396988,
5,749,0.07544079422950745,
5,749,,0.03793206065893173
6,799,0.12185736745595932,
6,849,0.055527906864881516,
6,874,,0.03630950674414635
7,899,0.04980388283729553,
7,949,0.2651083767414093,
7,999,0.05425778403878212,
7,999,,0.03444475308060646
8,1049,0.03383895009756088,
8,1099,0.038530442863702774,
8,1124,,0.029435155913233757
9,1149,0.08005017787218094,
9,1199,0.039141736924648285,
9,1249,0.033598508685827255,
9,1249,,0.025794649496674538
10,1299,0.03321552649140358,
10,1349,0.029256369918584824,
10,1374,,0.02432270348072052
11,1399,0.34095263481140137,
11,1449,0.023866498842835426,
11,1499,0.039208874106407166,
11,1499,,0.020834727212786674
12,1549,0.038460370153188705,
12,1599,0.041090577840805054,
12,1624,,0.01846112124621868
13,1649,0.041156839579343796,
13,1699,0.05705098807811737,
13,1749,0.2310292273759842,
13,1749,,0.017054732888936996
14,1799,0.029796723276376724,
14,1849,0.03491359204053879,
14,1874,,0.015294867567718029
15,1899,0.031690727919340134,
15,1949,0.019336437806487083,
15,1999,0.028751756995916367,
15,1999,,0.011795100755989552
16,2049,0.020933128893375397,
16,2099,0.019070880487561226,
16,2124,,0.011001726612448692
17,2149,0.023857252672314644,
17,2199,0.17858441174030304,
17,2249,0.01933663710951805,
17,2249,,0.01013467088341713
18,2299,0.023456238210201263,
18,2349,0.019146732985973358,
18,2374,,0.009179473854601383
19,2399,0.02456633746623993,
19,2449,0.027422292158007622,
19,2499,0.02430192194879055,
19,2499,,0.008980897255241871
20,2549,0.2506692409515381,
20,2599,0.021820068359375,
20,2624,,0.008819233626127243
21,2649,0.05996217206120491,
21,2699,0.015843065455555916,
21,2749,0.023718010634183884,
21,2749,,0.009112702682614326
22,2799,0.016344834119081497,
22,2849,0.034959789365530014,
22,2874,,0.00802243035286665
23,2899,0.027936069294810295,
23,2949,0.015765845775604248,
23,2999,0.03054674342274666,
23,2999,,0.007886175997555256
24,3049,0.01743936724960804,
24,3099,0.016922010108828545,
24,3124,,0.00706047099083662
25,3149,0.016279445961117744,
25,3199,0.023994924500584602,
25,3249,0.013358412310481071,
25,3249,,0.007833968847990036
26,3299,0.018264256417751312,
26,3349,0.017965715378522873,
26,3374,,0.007333976682275534
27,3399,0.013738151639699936,
27,3449,0.011708149686455727,
27,3499,0.015089509077370167,
27,3499,,0.005953936371952295
28,3549,0.014065742492675781,
28,3599,0.05443504452705383,
28,3624,,0.005825345870107412
29,3649,0.016048653051257133,
29,3699,0.014431674964725971,
29,3749,0.02466364949941635,
29,3749,,0.004629351664334536
30,3799,0.02436160482466221,
30,3849,0.01448685023933649,
30,3874,,0.004656615201383829
31,3899,0.00964427087455988,
31,3949,0.01563192903995514,
31,3999,0.014702707529067993,
31,3999,,0.003301030257716775
32,4049,0.012003323063254356,
32,4099,0.011129263788461685,
32,4124,,0.003280423581600189
33,4149,0.014245947822928429,
33,4199,0.016453707590699196,
33,4249,0.01960529200732708,
33,4249,,0.003257663454860449
34,4299,0.014494210481643677,
34,4349,0.01709878258407116,
34,4374,,0.003450908465310931
35,4399,0.017778871580958366,
35,4449,0.009579106234014034,
35,4499,0.015779221430420876,
35,4499,,0.003211899194866419
36,4549,0.012766481377184391,
36,4599,0.029580499976873398,
36,4624,,0.0026628030464053154
37,4649,0.014591650106012821,
37,4699,0.020622283220291138,
37,4749,0.01817859522998333,
37,4749,,0.002748883794993162
38,4799,0.01102585531771183,
38,4849,0.014694488607347012,
38,4874,,0.002446048194542527
39,4899,0.01310229953378439,
39,4949,0.01069724839180708,
39,4999,0.012963243760168552,
39,4999,,0.002305499743670225
40,5049,0.014460665173828602,
40,5099,0.013422492891550064,
40,5124,,0.0023270396050065756
41,5149,0.00962339248508215,
41,5199,0.014925502240657806,
41,5249,0.0137265520170331,
41,5249,,0.0022294241935014725
42,5299,0.012455265037715435,
42,5349,0.011701385490596294,
42,5374,,0.0024280468933284283
43,5399,0.012831048108637333,
43,5449,0.011292284354567528,
43,5499,0.011703192256391048,
43,5499,,0.002314119366928935
44,5549,0.010997423902153969,
44,5599,0.022228579968214035,
44,5624,,0.002048475667834282
45,5649,0.015356551855802536,
45,5699,0.01452742237597704,
45,5749,0.013726371340453625,
45,5749,,0.002111316891387105
46,5799,0.018976356834173203,
46,5849,0.01608601026237011,
46,5874,,0.0025513775181025267
47,5899,0.012429347261786461,
47,5949,0.013190899975597858,
47,5999,0.008871755562722683,
47,5999,,0.0017150710336863995
48,6049,0.020011387765407562,
48,6099,0.013136249035596848,
48,6124,,0.0017340852646157146
49,6149,0.014890230260789394,
49,6199,0.01438842061907053,
49,6249,0.011864698491990566,
49,6249,,0.0016251637134701014
