Level	Date and Time	Source	Event ID	Task Category
Information	25/06/2022 22:29:48	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:29:46.845
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 52.109.88.126
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	25/06/2022 22:29:46	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:29:44.875
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 52.109.68.58
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	25/06/2022 22:29:45	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:29:43.817
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 20.108.14.61
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	25/06/2022 22:29:45	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:29:43.813
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 40.126.32.161
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	25/06/2022 22:29:16	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:29:15.543
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 13.107.138.9
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	25/06/2022 22:29:10	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:29:09.572
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 52.109.88.184
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	25/06/2022 22:28:58	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:58.365
ProcessGuid: {df655c70-61f6-62b7-ee04-000000005201}
ProcessId: 24328
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\87.0.4390.45\opera_autoupdate.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:58	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:58.359
ProcessGuid: {df655c70-61f6-62b7-ed04-000000005201}
ProcessId: 11736
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\87.0.4390.45\opera_autoupdate.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.647
ProcessGuid: {df655c70-6168-62b7-2a04-000000005201}
ProcessId: 2196
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\87.0.4390.45\opera_crashreporter.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.634
ProcessGuid: {df655c70-6168-62b7-2904-000000005201}
ProcessId: 15232
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.579
ProcessGuid: {df655c70-6169-62b7-3c04-000000005201}
ProcessId: 12036
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.579
ProcessGuid: {df655c70-6168-62b7-2d04-000000005201}
ProcessId: 11748
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.578
ProcessGuid: {df655c70-6168-62b7-2b04-000000005201}
ProcessId: 8528
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.570
ProcessGuid: {df655c70-6168-62b7-2c04-000000005201}
ProcessId: 18104
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.409
ProcessGuid: {df655c70-6169-62b7-3504-000000005201}
ProcessId: 14256
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.406
ProcessGuid: {df655c70-6169-62b7-3604-000000005201}
ProcessId: 21476
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.403
ProcessGuid: {df655c70-6169-62b7-3704-000000005201}
ProcessId: 20008
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.402
ProcessGuid: {df655c70-6169-62b7-3804-000000005201}
ProcessId: 20676
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.397
ProcessGuid: {df655c70-6169-62b7-3304-000000005201}
ProcessId: 17012
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.394
ProcessGuid: {df655c70-6168-62b7-2f04-000000005201}
ProcessId: 16788
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
